Institute,City,School / Department,Program Title,Degree,Degree Level,Program Type,Duration,Fee (PKR),Eligibility Criteria,Admission Test,Program URL,Fee URL,Admission Deadline
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),Nanodegree in Global Leadership Management,ND GLM,One Year Degree Programs,Hybrid,8 Months,299000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ND GLM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),PhD Economics,PhD ECO,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD Eco.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),PhD Management,PhD MGT,PhD Programs,Evening,3 Years,990000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDManagement.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Dr Hasan Murad School of Management (HSM),PhD Statistics,PhD STATS,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD Stats.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,ADP Aircraft Maintenance Engineering,ADP AMET,Associate Degree Program,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP AMET.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,ADP Aviation Business,ADP AB,Associate Degree Program,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP AB.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,ADP Flight Operations,ADP FO,Associate Degree Program,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/ADP FO.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aircraft Maintenance Engineering Technology,BS-AMET,Undergraduate Programs,Morning,4 Years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BScAMET.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aviation Management,BS AM,Undergraduate Programs,Morning,4 Years,1590000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-AM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aviation Management - PostADP/BSc/BA,BS AM(PostADP/BSc/BA),Post Associate Degree Programs,Morning,2 Years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSAM - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aviation Management - PostADP/BSc/BA,BS AM(PostADP/BSc/BA),Post Associate Degree Programs,Morning,2 Years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSAM - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aviation Management - PostADP/BSc/BA,BS AM(PostADP/BSc/BA),Post Associate Degree Programs,Morning,2 Years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSAM - Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,BS Aviation Professional Pilot (APP),BS(APP),Undergraduate Programs,Morning,4 Years,1590000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-APP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Aviation Studies,PGD in Aviation Safety,PGDAS,One Year Degree Programs,Morning,1 years,349000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PGDAS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Hospitality Leadership,BS Global Hospitality and Culinary Arts,BS GHCA,Undergraduate Programs,Morning,4 Years,1490000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS GHCA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Hospitality Leadership,BS Global Hospitality and Tourism Management,BS HTM,Undergraduate Programs,Morning,4 Years,1200000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS(HTM).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Institute of Hospitality Leadership,PGD International Hospitality and Tourism Management,PGD IHM,One Year Degree Programs,Evening,2 Years,400000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PGD IHTM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Khurshid Ahmad Institute of Islamic Economics and Finance (KAIIEF),MS Islamic Banking And Finance,MSIBF,Graduate Programs,Weekend,2 Years,690000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS IBF.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,Khurshid Ahmad Institute of Islamic Economics and Finance (KAIIEF),PhD Islamic Banking and Finance,PhD IBF,PhD Programs,Evening,3 Years,790000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhD-IBF.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,B Architecture,BArch,Undergraduate Programs,Morning,5 Years,2090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BArch.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,BS City and Regional Planning,BSCRP,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSCRP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,BS Design,BS D,Undergraduate Programs,Morning,4 years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS D.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,BS in Remote Sensing and Geographic Information System,BS RSGIS,Undergraduate Programs,Morning,4 Years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS RSGIS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,BS Interior Architecture,BS IA,Undergraduate Programs,Morning,4 years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS IA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,Masters of Architecture,MS Arc(E),Graduate Programs,Evening,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS Arc(E).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Architecture and Planning,MS- City and Regional Planning,MS CRP,Graduate Programs,Weekend,2 Years,490000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS City and Regional Planning.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,B.Com (Hons) - Post ADP/BA/BSC/B.Com,Bcom-Post ADP/BA/BSC/,Post Associate Degree Programs,Morning,2 Years,398668,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/Bcom-PostADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,Bcom (H),Bcom(H),Undergraduate Programs,Morning,4 Years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/Bcom(H).aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS Accounting,BS Acc,Undergraduate Programs,Morning,4 Years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Act.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS Accounting - Post ADP/BA/BSc/Bcom,BS Acc(Post ADP/BA/BSc/Bcom),Post Associate Degree Programs,Morning,2 Years,456247,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Acc-Post-ADP/BA/BSc.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS Business Management and Accounting,BS BMA,Undergraduate Programs,Morning,4 years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS BMA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS Business Management and Accounting - Post ADP/BA/BSc/Bcom,BS BMA (Post ADP/BA/BSc/Bcom),Post Associate Degree Programs,Morning,2 Years,483075,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-BMA-Post-ADP/BA/Bsc.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS Digital Accounting & Analytics,BS DAA,Undergraduate Programs,Morning,4 years,790000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSDAA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS E-Commerce,BS Ecom,Undergraduate Programs,Morning,4 Years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS E-commerce.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,BS E-Commerce Post ADP (ITM),BS Ecom Post ADP,Post Associate Degree Programs,Morning,2 years,490000,As per UMT admission policy,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS Ecom-Post ADP.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Commerce and Accountancy,MS Accounting (Evening/Weekend),MS Acc,Graduate Programs,Evening/Weekend,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS-Act.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Fashion Design,BS FD,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BFD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Fine Arts,BS FA,Undergraduate Programs,Morning,4 years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS FA.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Interior Design,BS ID,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS ID.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Textile Design,BSTED,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS TD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Textiles & Clothing,BS Tex.C,Undergraduate Programs,Morning,4 years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-Ted.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,BS Visual Communication Design,BS VCD,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS VCD.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,MS Textiles,MS Tex,Graduate Programs,Evening,2 Years,590000,16 years education from HEC recognized institution,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/MS ATC.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Design and Textiles,PhD Textiles,PhD Tex,PhD Programs,Evening,3 Years,690000,MS / MPhil degree with research background,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/PhDTextile.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Biomedical Engineering Technology,BS BET,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS BET.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Civil Engineering,BS-CE,Undergraduate Programs,Morning,4 Years,2090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS-CE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Computer Engineering Technology,BS CET,Undergraduate Programs,Morning,4 Years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS CET.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Computer Systems,BS ComS,Undergraduate Programs,Morning,4 years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS ComS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Construction Management,BS CM,Undergraduate Programs,Morning,4 years,990000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS CM.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Electrical Engineering,BSEE,Undergraduate Programs,Morning,4 Years,1890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSEE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Information Engineering Technology,BS ISET,Undergraduate Programs,Morning,4 years,890000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS ISET.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Mechanical Engineering,BS ME,Undergraduate Programs,Morning,4 Years,2090000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSME.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS Robotics and Intelligent Systems,BSRIS,Undergraduate Programs,Morning,4 Years,1290000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BSRIS.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
University of Management and Technology,Lahore,School of Engineering,BS-Computer Engineering,BS CS.E,Undergraduate Programs,Morning,4 years,1390000,HSSC / A-Levels or equivalent qualification,UMT Entry Test / SAT / NTS (as per policy),https://admissions.umt.edu.pk/prog/BS CCE.aspx,https://admissions.umt.edu.pk/FeeStructure.aspx,31 August 2025
