university_name,city,department,degree,program,duration,eligibility_criteria,test_required,fee_structure,admission_deadline,program_url
Aga Khan University,Karachi,Institute for Educational Development (IED),PhD,Education (PhD Education,3–5 Years,MPhil / MS (Education or relevant discipline),Research Proposal + Interview,300000.0,30-April-2026,https://www.aku.edu/admissions/phd-education/Pages/home.aspx
Aga Khan University,Karachi,Medical College / Medical Education,MS,Education in Medical Education,2 Years,16–18 years of education (relevant discipline),AKU Admission Test + Interview,250000.0,30-April-2026,https://www.aku.edu/admissions/med/Pages/home.aspx
Bahria University,Islamabad,School of Management Sciences,MBA,Business Administration,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=101
Bahria University,Islamabad,School of Management Sciences,MBA,Pharmaceutical and Health Management,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=105
Bahria University,Islamabad,School of Management Sciences,MBA,For Business graduates,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=102
Bahria University,Islamabad,Bahria University,MS,Artificial Intelligence,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=115
Bahria University,Islamabad,Department of Computer Science,MS,Computer Engineering,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=112
Bahria University,Islamabad,Department of Electrical Engineering,MS,Electrical Engineering,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=108
Bahria University,Islamabad,Department of Engineering,MS,Geophysics,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=125
Bahria University,Islamabad,Department of Computer Science,MS,Information Security,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=120
Bahria University,Islamabad,Faculty of Social Sciences,MS,Media Studies,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=122
Bahria University,Islamabad,School of Management Sciences,MS,Project Management,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=106
Bahria University,Islamabad,Department of Computer Science,MS,Software Engineering,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=109
Bahria University,Islamabad,Department of Electrical Engineering,MS,Telecom & Networking,2 Years,BS / BE (relevant discipline),GAT (General) / Bahria Test,135000.0,30-September-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=118
Bahria University,Islamabad,Faculty of Social Sciences,BS,Media Studies,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=78
Bahria University,Islamabad,School of Management Sciences,BS,Accounting and Finance,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=18
Bahria University,Islamabad,Bahria University,BS,Artificial Intelligence,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=184
Bahria University,Islamabad,Department of Computer Science,BS,Computer Science,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=41
Bahria University,Islamabad,Faculty of Social Sciences,BS,Development Studies,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=67
Bahria University,Islamabad,School of Management Sciences,BS,Economics,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=20
Bahria University,Islamabad,Department of Engineering,BS,Environmental Sciences,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=50
Bahria University,Islamabad,Department of Engineering,BS,Geology,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=53
Bahria University,Islamabad,Department of Engineering,BS,Geophysics,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=52
Bahria University,Islamabad,Department of Computer Science,BS,Hospitality and Tourism Management,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=188
Bahria University,Islamabad,Bahria University,BS,Information Technology,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=46
Bahria University,Islamabad,Faculty of Social Sciences,BS,International Relations,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=66
Bahria University,Islamabad,Faculty of Social Sciences,BS,Psychology,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=56
Bahria University,Islamabad,Faculty of Social Sciences,BS,Public Health,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=63
Bahria University,Islamabad,Faculty of Social Sciences,BS,Remote Sensing & GIS,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=182
Bahria University,Islamabad,Bahria University,BS,Robotics and Intelligent Systems,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=36
Bahria University,Islamabad,Department of Computer Science,BS,Supply Chain Management,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=23
Bahria University,Islamabad,Department of Computer Science,BS,Television Broadcasting & Digital Media,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=80
Bahria University,Islamabad,School of Management Sciences,BS,Business Administration,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=27
Bahria University,Islamabad,Department of Computer Science,BS,Computer Engineering,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=39
Bahria University,Islamabad,Department of Electrical Engineering,BS,Electrical Engineering,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=33
Bahria University,Islamabad,Faculty of Law,BS,Laws (LLB),4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=77
Bahria University,Islamabad,Department of Computer Science,BS,Software Engineering,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=37
Bahria University,Islamabad,Bahria University,BS,Studies in English,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000.0,31-August-2026,https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=61
COMSATS University Islamabad,Islamabad,Department of Physics,BS,Physics,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Physics,MS,Physics,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Physics,PhD,Physics,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Management Sciences,BS,Accounting and Finance,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Management Sciences,PhD,Management Sciences,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Computer Science,BS,Computer Science,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,31-August-2026,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Computer Science,BS,Software Engineering,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Computer Science,MS,Computer Science,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Computer Science,MS,Software Engineering,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Computer Science,PhD,Computer Science,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,BS,Biosciences,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,BS,Bioinformatics,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,MS,Chemistry,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,MS,Biosciences,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,MS,Bioinformatics,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,PhD,Chemistry,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,PhD,Biosciences,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Biosciences,PhD,Bioinformatics,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Chemistry Department,BS,Chemistry,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Chemistry Department,MS,Chemistry,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Chemistry Department,PhD,Chemistry,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Economics,BS,Economics,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,31-August-2026,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Economics,MS,Economics,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Economics,PhD,Economics,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Electrical Engineering,BS,Electrical Engineering,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Electrical Engineering,MS,Electrical Engineering,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Electrical Engineering,PhD,Electrical Engineering,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Mathematics,BS,Mathematics,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Mathematics,MS,Mathematics,2 Years,16 years of education (BS / BE) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,190000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Mathematics,PhD,Mathematics,3–5 Years,18 years of education (MS / MPhil) in a relevant discipline from an HEC recognized university.,NTS / COMSATS Test,210000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Humanities,BS,Media & Communication,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,17-December-2025,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
COMSATS University Islamabad,Islamabad,Department of Humanities,BS,Psychology,4 Years,FSc (Pre-Engineering / Pre-Medical with additional Mathematics) or A-Levels with relevant subjects or equivalent qualification as per IBCC.,NTS / COMSATS Test,170000.0,31-August-2026,https://islamabad.comsats.edu.pk/comsats-admissions.aspx
Dow University of Health Sciences (DUHS),Karachi,Dow Medical College,BS,Medicine & Surgery,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/dow-medical-college/mbbs/
Dow University of Health Sciences (DUHS),Karachi,Dow Dental College,BS,Dental Surgery,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/dow-dental-college/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,Dow International Medical College,BS,Elective Program at Dow University Hospital – DIMC-DUHS for Students of other Medical Colleges,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/wp-content/uploads/2026/01/MBBS-Elective-Program-at-Dow-University-Hospital-DIMC-DUHS-for-Students-of-other-Medical-Colleges.pdf
Dow University of Health Sciences (DUHS),Karachi,Dow International Medical College,BS,Medicine & Surgery,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/dow-international-medical-college/mbbs/
Dow University of Health Sciences (DUHS),Karachi,Dow International Medical College,BS,Optometry,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-international-medical-college/bs-optometry/
Dow University of Health Sciences (DUHS),Karachi,Dow International Dental College,BS,Dental Surgery,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/dow-international-dental-college/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,Institute of Oral Health Sciences,BS,Dental Surgery,5 Years,FSc (Pre-Medical) + PMC eligibility,MDCAT (PMC),75000.0,30-September-2026,https://www.duhs.edu.pk/dr-ishrat-ul-ebad-khan-institute-of-oral-health-sciences/bachelor-of-dentistry-bds/
Dow University of Health Sciences (DUHS),Karachi,School of Dental Care Professionals,BS,Dental Hygiene,4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000.0,30-September-2026,https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-hygiene-bs-dcp/https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-hygiene-bs-dcp/
Dow University of Health Sciences (DUHS),Karachi,School of Dental Care Professionals,BS,Dental Technology,4 Years,Intermediate (relevant discipline),DUHS Entry Test,55000.0,30-September-2026,https://www.duhs.edu.pk/dow-school-of-dental-care-professional/dental-technology-bs-dcp/
Dow University of Health Sciences (DUHS),Karachi,Dow College of Biotechnology,BS,Biotechnology,4 Years,FSc (Pre-Medical / Pre-Engg),DUHS Entry Test,55000.0,30-September-2026,https://www.duhs.edu.pk/dow-college-of-biotechnology/bachelors-in-biotechnology/
Dow University of Health Sciences (DUHS),Karachi,Dow Institute of Medical Technology,BS,Medical Technology (Perfusion Sciences),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-institute-of-medical-technology/perfusion-sciences/
Dow University of Health Sciences (DUHS),Karachi,Dow Institute of Medical Technology,BS,Medical Technology (Respiratory and Critical Care Technology),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-institute-of-medical-technology/respiratory-critical-care-technology/
Dow University of Health Sciences (DUHS),Karachi,Dow Institute of Medical Technology,BS,Optometry and Visual Sciences,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-institute-of-medical-technology/optometryandvisualsciences/
Dow University of Health Sciences (DUHS),Karachi,Dow Institute of Medical Technology,BS,Medical Technology (Surgical Technology),4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-institute-of-medical-technology/surgical-technology/
Dow University of Health Sciences (DUHS),Karachi,Dow Institute of Nursing & Midwifery,BS,Nursing,4 Years,FSc (Pre-Medical),DUHS Entry Test,60000.0,30-September-2026,https://www.duhs.edu.pk/dow-institute-of-nursing-and-midwifery/generic-nursing/
