Institute,City,School,Degree,Program,Eligibility,Admission_Test,Fee_Category,First_Year_Fee_PKR,Application_Deadline,Deadline_Source_URL,Fee_Source_URL
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR IN ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF COMPUTER ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2025 AND ONWARDS,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,BS,BACHELOR OF MECHANICAL ENGINEERING wef,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,BS,BACHELORS OF MECHANICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,BS,BACHELOR OF AEROSPACE ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,BS,BACHELOR OF MECHANICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"Nust Balochistan Campus, Quetta",BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2021 AND 2022 INTAKE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"Nust Balochistan Campus, Quetta",BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2023-2024,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"Nust Balochistan Campus, Quetta",BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2020 INTAKE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"Nust Balochistan Campus, Quetta",BS,BACHELOR OF SCIENCE IN ARTIFICIAL INTELLIGENCE,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"Nust Balochistan Campus, Quetta",BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2025 AND ONWARDS,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Aeronautical Engineering,BS,BACHELOR OF AEROSPACE ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Aeronautical Engineering,BS,BACHELORS OF AVIONICS ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR OF COMPUTER ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR OF MECHATRONICS ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR OF MECHANICAL ENGINEERING wef,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR OF ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELORS OF MECHANICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR OF MECHANICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,College Of Electrical & Mechanical Engineering,BS,BACHELOR IN ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Military College Of Signals,BS,BACHELOR OF SOFTWARE ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Military College Of Signals,BS,BACHELOR OF ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Military College Of Signals,BS,BACHELOR OF ENGINEERING IN IN,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Military College Of Signals,BS,BACHELOR IN ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,BACHELOR OF MECHANICAL ENGINEERING wef,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,Bachelor of Science in Maritime Sciences,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,Bachelor of Engineering in Naval Architecture,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,BACHELOR OF ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,BACHELOR OF MECHANICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,BACHELOR IN ELECTRICAL ENGINEERING,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,BACHELOR OF SCIENCE IN COMPUTER SCIENCE 2025 AND ONWARDS,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Pakistan Navy Engineering College,BS,Bachelor of Naval Architecture & Marine Engineering,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Engineering / Computing,325000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Nust Business School,BS,BACHELOR OF BUSINESS ADMINISTRATION,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Business / Social Sciences,275000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"School Of Art, Design & Architecture",BS,Bachelor of Industrial Design,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Architecture / Design,350000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,"School Of Art, Design & Architecture",BS,Bachelor of Architecture,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Architecture / Design,350000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Nust Institute Of Peace & Conflict Studies,BS,BACHELOR OF MILITARY ART AND SCIENCE (BMAS),FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Social Sciences & Humanities,BS,Bachelor of Public Administration,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Business / Social Sciences,275000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Nust Law School,BS,Bachelor of Laws,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Business / Social Sciences,275000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Jinnah School Of Public Policy And Leadership,BS,BACHELOR OF PUBLIC ADMINISTRATION,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),Business / Social Sciences,275000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Atta-Ur-Rahman School Of Applied Bio Sciences,BS,Bachelor of Science in Agriculture,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Natural Sciences,BS,Bachelor of Science in Mathematics,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Natural Sciences,BS,Bachelor of Science in Physics,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Natural Sciences,BS,Bachelor of Science in Chemistry,FSc (Pre-Engineering / ICS / relevant group) with required subjects,NET (NUST Entry Test),General BS,300000,"January 31, 2026",https://nust.edu.pk/admissions/undergraduates/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS CONSTRUCTION ENGINEERING AND MANAGEMENT,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS URBAN & REGIONAL PLANNING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS REMOTE SENSING AND GEOGRAPHICAL IN,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS ENVIRONMENTAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS ENVIRONMENTAL SCIENCE,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS STRUCTURAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS TRANSPORTATION ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS GEOTECHNICAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Civil & Environmental Engineering,Masters,MS WATER RESOURCES AND HYDROPOWER ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Chemical & Materials Engineering,Masters,MS MATERIALS AND SURFACE ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Chemical & Materials Engineering,Masters,MS CHEMICAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Chemical & Materials Engineering,Masters,MS NANOSCIENCE & ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS IN,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS COMPUTER SCIENCE,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS INNOVATIVE TECHNOLOGIES IN LEARNING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS ELECTRICAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS DATA SCIENCE,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS ARTIFICIAL INTELLIGENCE,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Electrical Engineering & Computer Science,Masters,MS AI & Autonomous Systems,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,Masters,MS BIOMEDICAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,Masters,MS BIOMEDICAL SCIENCES,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,Masters,MS DESIGN AND MANUFACTURING ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,Masters,MS ROBOTICS AND ARTIFICIAL INTELLIGENCE ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,School Of Mechanical & Manufacturing Engineering,Masters,MS MECHANICAL ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Us-Pakistan Center For Advanced Studies In Energy,Masters,MS ELECTRICAL ENGINEERING (POWER),16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Us-Pakistan Center For Advanced Studies In Energy,Masters,MS THERMAL ENERGY ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Us-Pakistan Center For Advanced Studies In Energy,Masters,MS ENERGY SYSTEMS ENGINEERING,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),MS Engineering / Computing,350000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
NUST,Islamabad,Us-Pakistan Center For Advanced Studies In Energy,Masters,MS RENEWABLE ENERGY,16 years of education in a relevant discipline from an HEC recognized institution,NET (NUST Entry Test) / GAT (where applicable),General MS,320000,"May 31, 2026",https://nust.edu.pk/admissions/masters/dates-to-remember/,https://nust.edu.pk/admissions/fee-structure/
