University,University_URL,City,School,Program_Name,Degree_Level,Duration,Eligibility,Test_Required,Fee_Per_Semester,Admission_Deadline,Program_URL
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Geophysics,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=52
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Hospitality and Tourism Management,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=188
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Information Technology,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=46
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS International Relations,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=66
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Psychology,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=56
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Public Health (BSPH),Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=63
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Remote Sensing & GIS,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=182
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Robotics and Intelligent Systems,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=36
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Supply Chain Management,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=23
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,BS Television Broadcasting & Digital Media,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=80
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor in Business Administration,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=27
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor of Computer Engineering,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=39
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor of Electrical Engineering (BEE),Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=33
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor of Laws,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=77
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor of Software Engineering (BSE),Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=37
Bahria University,https://bahria.edu.pk,Islamabad,Bahria University Islamabad,Bachelor of Studies in English,Undergraduate,4 Years,Intermediate / A-Levels (relevant discipline),Bahria University Admission Test / SAT,110000,"August 31, 2026",https://bahria.edu.pk/Home/AdmissionRoadmapDetails?roadmapId=61
